country,alpha_2_code,alpha_3_code,numeric_code,indicator,time_period,obs_value,sex,unit_multiplier,unit_of_measure,observation_status,observation_confidentaility,time_period_activity_related_to_when_the_data_are_collected,current_age
Afghanistan,AF,AFG,4,Mortality rate age 10-14,1990,7.85700916776888,Female,,"Deaths per 1,000 children aged 10",Normal value,,,Total
Afghanistan,AF,AFG,4,Mortality rate age 10-14,1991,7.13855727556367,Female,,"Deaths per 1,000 children aged 10",Normal value,,,Total
Afghanistan,AF,AFG,4,Mortality rate age 10-14,1992,6.47012107226252,Female,,"Deaths per 1,000 children aged 10",Normal value,,,Total
Afghanistan,AF,AFG,4,Mortality rate age 10-14,1993,5.87897521058767,Female,,"Deaths per 1,000 children aged 10",Normal value,,,Total
Afghanistan,AF,AFG,4,Mortality rate age 10-14,1994,5.33135491400083,Female,,"Deaths per 1,000 children aged 10",Normal value,,,Total
Afghanistan,AF,AFG,4,Mortality rate age 10-14,1995,4.90156830696487,Female,,"Deaths per 1,000 children aged 10",Normal value,,,Total
Afghanistan,AF,AFG,4,Mortality rate age 10-14,1996,4.51776614297483,Female,,"Deaths per 1,000 children aged 10",Normal value,,,Total
Afghanistan,AF,AFG,4,Mortality rate age 10-14,1997,4.2020699229619,Female,,"Deaths per 1,000 children aged 10",Normal value,,,Total
Afghanistan,AF,AFG,4,Mortality rate age 10-14,1998,5.72143153601934,Female,,"Deaths per 1,000 children aged 10",Normal value,,,Total
Afghanistan,AF,AFG,4,Mortality rate age 10-14,1999,3.78852397010254,Female,,"Deaths per 1,000 children aged 10",Normal value,,,Total
Afghanistan,AF,AFG,4,Mortality rate age 10-14,2000,3.6434114664281,Female,,"Deaths per 1,000 children aged 10",Normal value,,,Total
Afghanistan,AF,AFG,4,Mortality rate age 10-14,2001,3.53405261566886,Female,,"Deaths per 1,000 children aged 10",Normal value,,,Total
Afghanistan,AF,AFG,4,Mortality rate age 10-14,2002,3.45853629280424,Female,,"Deaths per 1,000 children aged 10",Normal value,,,Total
Afghanistan,AF,AFG,4,Mortality rate age 10-14,2003,3.41712678032025,Female,,"Deaths per 1,000 children aged 10",Normal value,,,Total
Afghanistan,AF,AFG,4,Mortality rate age 10-14,2004,3.44046921672991,Female,,"Deaths per 1,000 children aged 10",Normal value,,,Total
Afghanistan,AF,AFG,4,Mortality rate age 10-14,2005,3.55881470359853,Female,,"Deaths per 1,000 children aged 10",Normal value,,,Total
Afghanistan,AF,AFG,4,Mortality rate age 10-14,2006,3.7390862800436,Female,,"Deaths per 1,000 children aged 10",Normal value,,,Total
Afghanistan,AF,AFG,4,Mortality rate age 10-14,2007,3.94146135041695,Female,,"Deaths per 1,000 children aged 10",Normal value,,,Total
Afghanistan,AF,AFG,4,Mortality rate age 10-14,2008,4.09580577787327,Female,,"Deaths per 1,000 children aged 10",Normal value,,,Total
Afghanistan,AF,AFG,4,Mortality rate age 10-14,2009,4.13793553916286,Female,,"Deaths per 1,000 children aged 10",Normal value,,,Total
Afghanistan,AF,AFG,4,Mortality rate age 10-14,2010,4.04850386749867,Female,,"Deaths per 1,000 children aged 10",Normal value,,,Total
Afghanistan,AF,AFG,4,Mortality rate age 10-14,2011,3.80824990953021,Female,,"Deaths per 1,000 children aged 10",Normal value,,,Total
Afghanistan,AF,AFG,4,Mortality rate age 10-14,2012,3.51454708899857,Female,,"Deaths per 1,000 children aged 10",Normal value,,,Total
Afghanistan,AF,AFG,4,Mortality rate age 10-14,2013,3.19271100214136,Female,,"Deaths per 1,000 children aged 10",Normal value,,,Total
Afghanistan,AF,AFG,4,Mortality rate age 10-14,2014,2.92331514544586,Female,,"Deaths per 1,000 children aged 10",Normal value,,,Total
Afghanistan,AF,AFG,4,Mortality rate age 10-14,2015,2.76406026653819,Female,,"Deaths per 1,000 children aged 10",Normal value,,,Total
Afghanistan,AF,AFG,4,Mortality rate age 10-14,2016,2.71715589307209,Female,,"Deaths per 1,000 children aged 10",Normal value,,,Total
Afghanistan,AF,AFG,4,Mortality rate age 10-14,2017,2.75935779150238,Female,,"Deaths per 1,000 children aged 10",Normal value,,,Total
Afghanistan,AF,AFG,4,Mortality rate age 10-14,2018,2.91697977347449,Female,,"Deaths per 1,000 children aged 10",Normal value,,,Total
Afghanistan,AF,AFG,4,Mortality rate age 10-14,2019,3.14515524709358,Female,,"Deaths per 1,000 children aged 10",Normal value,,,Total
Afghanistan,AF,AFG,4,Mortality rate age 10-14,2020,3.4495879527433,Female,,"Deaths per 1,000 children aged 10",Normal value,,,Total
Afghanistan,AF,AFG,4,Mortality rate age 10-14,2021,3.81694053867709,Female,,"Deaths per 1,000 children aged 10",Normal value,,,Total
Afghanistan,AF,AFG,4,Mortality rate age 10-14,2022,4.14153342052048,Female,,"Deaths per 1,000 children aged 10",Normal value,,,Total
Afghanistan,AF,AFG,4,Mortality rate age 10-14,1990,8.05864355915509,Male,,"Deaths per 1,000 children aged 10",Normal value,,,Total
Afghanistan,AF,AFG,4,Mortality rate age 10-14,1991,7.4180938323466,Male,,"Deaths per 1,000 children aged 10",Normal value,,,Total
Afghanistan,AF,AFG,4,Mortality rate age 10-14,1992,6.82528233199231,Male,,"Deaths per 1,000 children aged 10",Normal value,,,Total
Afghanistan,AF,AFG,4,Mortality rate age 10-14,1993,6.36427106602933,Male,,"Deaths per 1,000 children aged 10",Normal value,,,Total
Afghanistan,AF,AFG,4,Mortality rate age 10-14,1994,5.92880800276041,Male,,"Deaths per 1,000 children aged 10",Normal value,,,Total
Afghanistan,AF,AFG,4,Mortality rate age 10-14,1995,5.58155858751042,Male,,"Deaths per 1,000 children aged 10",Normal value,,,Total
Afghanistan,AF,AFG,4,Mortality rate age 10-14,1996,5.29059409262422,Male,,"Deaths per 1,000 children aged 10",Normal value,,,Total
Afghanistan,AF,AFG,4,Mortality rate age 10-14,1997,5.05750660010873,Male,,"Deaths per 1,000 children aged 10",Normal value,,,Total
Afghanistan,AF,AFG,4,Mortality rate age 10-14,1998,6.17552799310972,Male,,"Deaths per 1,000 children aged 10",Normal value,,,Total
Afghanistan,AF,AFG,4,Mortality rate age 10-14,1999,4.74182266369616,Male,,"Deaths per 1,000 children aged 10",Normal value,,,Total
Afghanistan,AF,AFG,4,Mortality rate age 10-14,2000,4.64316922151164,Male,,"Deaths per 1,000 children aged 10",Normal value,,,Total
Afghanistan,AF,AFG,4,Mortality rate age 10-14,2001,4.53660284904378,Male,,"Deaths per 1,000 children aged 10",Normal value,,,Total
Afghanistan,AF,AFG,4,Mortality rate age 10-14,2002,4.47006699273056,Male,,"Deaths per 1,000 children aged 10",Normal value,,,Total
Afghanistan,AF,AFG,4,Mortality rate age 10-14,2003,4.44283404190871,Male,,"Deaths per 1,000 children aged 10",Normal value,,,Total
Afghanistan,AF,AFG,4,Mortality rate age 10-14,2004,4.46475296924154,Male,,"Deaths per 1,000 children aged 10",Normal value,,,Total
Afghanistan,AF,AFG,4,Mortality rate age 10-14,2005,4.5372913744659,Male,,"Deaths per 1,000 children aged 10",Normal value,,,Total
Afghanistan,AF,AFG,4,Mortality rate age 10-14,2006,4.68477658431299,Male,,"Deaths per 1,000 children aged 10",Normal value,,,Total
Afghanistan,AF,AFG,4,Mortality rate age 10-14,2007,4.82161228614009,Male,,"Deaths per 1,000 children aged 10",Normal value,,,Total
Afghanistan,AF,AFG,4,Mortality rate age 10-14,2008,4.92164484539193,Male,,"Deaths per 1,000 children aged 10",Normal value,,,Total
Afghanistan,AF,AFG,4,Mortality rate age 10-14,2009,4.9453537078471,Male,,"Deaths per 1,000 children aged 10",Normal value,,,Total
Afghanistan,AF,AFG,4,Mortality rate age 10-14,2010,4.82456141461773,Male,,"Deaths per 1,000 children aged 10",Normal value,,,Total
Afghanistan,AF,AFG,4,Mortality rate age 10-14,2011,4.63406729664528,Male,,"Deaths per 1,000 children aged 10",Normal value,,,Total
Afghanistan,AF,AFG,4,Mortality rate age 10-14,2012,4.37318312237311,Male,,"Deaths per 1,000 children aged 10",Normal value,,,Total
Afghanistan,AF,AFG,4,Mortality rate age 10-14,2013,4.10516351995271,Male,,"Deaths per 1,000 children aged 10",Normal value,,,Total
Afghanistan,AF,AFG,4,Mortality rate age 10-14,2014,3.84630474174685,Male,,"Deaths per 1,000 children aged 10",Normal value,,,Total
Afghanistan,AF,AFG,4,Mortality rate age 10-14,2015,3.685016771941,Male,,"Deaths per 1,000 children aged 10",Normal value,,,Total
Afghanistan,AF,AFG,4,Mortality rate age 10-14,2016,3.6196045030128,Male,,"Deaths per 1,000 children aged 10",Normal value,,,Total
Afghanistan,AF,AFG,4,Mortality rate age 10-14,2017,3.63477933861289,Male,,"Deaths per 1,000 children aged 10",Normal value,,,Total
Afghanistan,AF,AFG,4,Mortality rate age 10-14,2018,3.71215232807942,Male,,"Deaths per 1,000 children aged 10",Normal value,,,Total
Afghanistan,AF,AFG,4,Mortality rate age 10-14,2019,3.87659735640256,Male,,"Deaths per 1,000 children aged 10",Normal value,,,Total
Afghanistan,AF,AFG,4,Mortality rate age 10-14,2020,4.07910150467583,Male,,"Deaths per 1,000 children aged 10",Normal value,,,Total
Afghanistan,AF,AFG,4,Mortality rate age 10-14,2021,4.30038732148164,Male,,"Deaths per 1,000 children aged 10",Normal value,,,Total
Afghanistan,AF,AFG,4,Mortality rate age 10-14,2022,4.51849460986919,Male,,"Deaths per 1,000 children aged 10",Normal value,,,Total
Afghanistan,AF,AFG,4,Mortality rate age 10-14,1990,7.95977867037811,Total,,"Deaths per 1,000 children aged 10",Normal value,,,Total
Afghanistan,AF,AFG,4,Mortality rate age 10-14,1991,7.28107724357518,Total,,"Deaths per 1,000 children aged 10",Normal value,,,Total
Afghanistan,AF,AFG,4,Mortality rate age 10-14,1992,6.65122896370618,Total,,"Deaths per 1,000 children aged 10",Normal value,,,Total
Afghanistan,AF,AFG,4,Mortality rate age 10-14,1993,6.12646363654579,Total,,"Deaths per 1,000 children aged 10",Normal value,,,Total
Afghanistan,AF,AFG,4,Mortality rate age 10-14,1994,5.63604099007764,Total,,"Deaths per 1,000 children aged 10",Normal value,,,Total
Afghanistan,AF,AFG,4,Mortality rate age 10-14,1995,5.2483244230479,Total,,"Deaths per 1,000 children aged 10",Normal value,,,Total
Afghanistan,AF,AFG,4,Mortality rate age 10-14,1996,4.91185934943816,Total,,"Deaths per 1,000 children aged 10",Normal value,,,Total
Afghanistan,AF,AFG,4,Mortality rate age 10-14,1997,4.63831716855201,Total,,"Deaths per 1,000 children aged 10",Normal value,,,Total
Afghanistan,AF,AFG,4,Mortality rate age 10-14,1998,5.95335678610898,Total,,"Deaths per 1,000 children aged 10",Normal value,,,Total
Afghanistan,AF,AFG,4,Mortality rate age 10-14,1999,4.27490591789637,Total,,"Deaths per 1,000 children aged 10",Normal value,,,Total
Afghanistan,AF,AFG,4,Mortality rate age 10-14,2000,4.15366069314205,Total,,"Deaths per 1,000 children aged 10",Normal value,,,Total
Afghanistan,AF,AFG,4,Mortality rate age 10-14,2001,4.04588605380285,Total,,"Deaths per 1,000 children aged 10",Normal value,,,Total
Afghanistan,AF,AFG,4,Mortality rate age 10-14,2002,3.97511379932325,Total,,"Deaths per 1,000 children aged 10",Normal value,,,Total
Afghanistan,AF,AFG,4,Mortality rate age 10-14,2003,3.94109080780314,Total,,"Deaths per 1,000 children aged 10",Normal value,,,Total
Afghanistan,AF,AFG,4,Mortality rate age 10-14,2004,3.96382566130615,Total,,"Deaths per 1,000 children aged 10",Normal value,,,Total
Afghanistan,AF,AFG,4,Mortality rate age 10-14,2005,4.05886303395442,Total,,"Deaths per 1,000 children aged 10",Normal value,,,Total
Afghanistan,AF,AFG,4,Mortality rate age 10-14,2006,4.22245852483472,Total,,"Deaths per 1,000 children aged 10",Normal value,,,Total
Afghanistan,AF,AFG,4,Mortality rate age 10-14,2007,4.39149966769692,Total,,"Deaths per 1,000 children aged 10",Normal value,,,Total
Afghanistan,AF,AFG,4,Mortality rate age 10-14,2008,4.51842012604442,Total,,"Deaths per 1,000 children aged 10",Normal value,,,Total
Afghanistan,AF,AFG,4,Mortality rate age 10-14,2009,4.55133907613225,Total,,"Deaths per 1,000 children aged 10",Normal value,,,Total
Afghanistan,AF,AFG,4,Mortality rate age 10-14,2010,4.44615116217506,Total,,"Deaths per 1,000 children aged 10",Normal value,,,Total
Afghanistan,AF,AFG,4,Mortality rate age 10-14,2011,4.23169815130187,Total,,"Deaths per 1,000 children aged 10",Normal value,,,Total
Afghanistan,AF,AFG,4,Mortality rate age 10-14,2012,3.95501296310619,Total,,"Deaths per 1,000 children aged 10",Normal value,,,Total
Afghanistan,AF,AFG,4,Mortality rate age 10-14,2013,3.66097448232194,Total,,"Deaths per 1,000 children aged 10",Normal value,,,Total
Afghanistan,AF,AFG,4,Mortality rate age 10-14,2014,3.39705373644916,Total,,"Deaths per 1,000 children aged 10",Normal value,,,Total
Afghanistan,AF,AFG,4,Mortality rate age 10-14,2015,3.23671313442375,Total,,"Deaths per 1,000 children aged 10",Normal value,,,Total
Afghanistan,AF,AFG,4,Mortality rate age 10-14,2016,3.18032052095818,Total,,"Deaths per 1,000 children aged 10",Normal value,,,Total
Afghanistan,AF,AFG,4,Mortality rate age 10-14,2017,3.20859540076923,Total,,"Deaths per 1,000 children aged 10",Normal value,,,Total
Afghanistan,AF,AFG,4,Mortality rate age 10-14,2018,3.32496386222003,Total,,"Deaths per 1,000 children aged 10",Normal value,,,Total
Afghanistan,AF,AFG,4,Mortality rate age 10-14,2019,3.52037885675949,Total,,"Deaths per 1,000 children aged 10",Normal value,,,Total
Afghanistan,AF,AFG,4,Mortality rate age 10-14,2020,3.77245491447664,Total,,"Deaths per 1,000 children aged 10",Normal value,,,Total
Afghanistan,AF,AFG,4,Mortality rate age 10-14,2021,4.06480134616449,Total,,"Deaths per 1,000 children aged 10",Normal value,,,Total
Afghanistan,AF,AFG,4,Mortality rate age 10-14,2022,4.33472800388368,Total,,"Deaths per 1,000 children aged 10",Normal value,,,Total
Albania,AL,ALB,8,Mortality rate age 10-14,1990,2.01944661261289,Female,,"Deaths per 1,000 children aged 10",Normal value,,,Total
Albania,AL,ALB,8,Mortality rate age 10-14,1991,1.88432193530919,Female,,"Deaths per 1,000 children aged 10",Normal value,,,Total
Albania,AL,ALB,8,Mortality rate age 10-14,1992,1.75511508032367,Female,,"Deaths per 1,000 children aged 10",Normal value,,,Total
Albania,AL,ALB,8,Mortality rate age 10-14,1993,1.64747017743105,Female,,"Deaths per 1,000 children aged 10",Normal value,,,Total
Albania,AL,ALB,8,Mortality rate age 10-14,1994,1.54949683048988,Female,,"Deaths per 1,000 children aged 10",Normal value,,,Total
Albania,AL,ALB,8,Mortality rate age 10-14,1995,1.47374979123749,Female,,"Deaths per 1,000 children aged 10",Normal value,,,Total
Albania,AL,ALB,8,Mortality rate age 10-14,1996,1.41730067841161,Female,,"Deaths per 1,000 children aged 10",Normal value,,,Total
Albania,AL,ALB,8,Mortality rate age 10-14,1997,1.64335208816202,Female,,"Deaths per 1,000 children aged 10",Normal value,,,Total
Albania,AL,ALB,8,Mortality rate age 10-14,1998,1.34308373321346,Female,,"Deaths per 1,000 children aged 10",Normal value,,,Total
Albania,AL,ALB,8,Mortality rate age 10-14,1999,1.32314051602067,Female,,"Deaths per 1,000 children aged 10",Normal value,,,Total
Albania,AL,ALB,8,Mortality rate age 10-14,2000,1.30005504298547,Female,,"Deaths per 1,000 children aged 10",Normal value,,,Total
Albania,AL,ALB,8,Mortality rate age 10-14,2001,1.2759372114507,Female,,"Deaths per 1,000 children aged 10",Normal value,,,Total
Albania,AL,ALB,8,Mortality rate age 10-14,2002,1.26177758938095,Female,,"Deaths per 1,000 children aged 10",Normal value,,,Total
Albania,AL,ALB,8,Mortality rate age 10-14,2003,1.25320150466035,Female,,"Deaths per 1,000 children aged 10",Normal value,,,Total
Albania,AL,ALB,8,Mortality rate age 10-14,2004,1.2435552602128,Female,,"Deaths per 1,000 children aged 10",Normal value,,,Total
Albania,AL,ALB,8,Mortality rate age 10-14,2005,1.23055990728682,Female,,"Deaths per 1,000 children aged 10",Normal value,,,Total
Albania,AL,ALB,8,Mortality rate age 10-14,2006,1.21470595585205,Female,,"Deaths per 1,000 children aged 10",Normal value,,,Total
Albania,AL,ALB,8,Mortality rate age 10-14,2007,1.19816902161818,Female,,"Deaths per 1,000 children aged 10",Normal value,,,Total
Albania,AL,ALB,8,Mortality rate age 10-14,2008,1.18213278690416,Female,,"Deaths per 1,000 children aged 10",Normal value,,,Total
Albania,AL,ALB,8,Mortality rate age 10-14,2009,1.16417943802638,Female,,"Deaths per 1,000 children aged 10",Normal value,,,Total
Albania,AL,ALB,8,Mortality rate age 10-14,2010,1.14609583244474,Female,,"Deaths per 1,000 children aged 10",Normal value,,,Total
Albania,AL,ALB,8,Mortality rate age 10-14,2011,1.12693935448216,Female,,"Deaths per 1,000 children aged 10",Normal value,,,Total
Albania,AL,ALB,8,Mortality rate age 10-14,2012,1.10633294620077,Female,,"Deaths per 1,000 children aged 10",Normal value,,,Total
Albania,AL,ALB,8,Mortality rate age 10-14,2013,1.08998490709677,Female,,"Deaths per 1,000 children aged 10",Normal value,,,Total
Albania,AL,ALB,8,Mortality rate age 10-14,2014,1.07360972716697,Female,,"Deaths per 1,000 children aged 10",Normal value,,,Total
Albania,AL,ALB,8,Mortality rate age 10-14,2015,1.0540266408231,Female,,"Deaths per 1,000 children aged 10",Normal value,,,Total
Albania,AL,ALB,8,Mortality rate age 10-14,2016,1.02908532911794,Female,,"Deaths per 1,000 children aged 10",Normal value,,,Total
Albania,AL,ALB,8,Mortality rate age 10-14,2017,1.00300008322052,Female,,"Deaths per 1,000 children aged 10",Normal value,,,Total
Albania,AL,ALB,8,Mortality rate age 10-14,2018,0.979926121383534,Female,,"Deaths per 1,000 children aged 10",Normal value,,,Total
Albania,AL,ALB,8,Mortality rate age 10-14,2019,0.953766716288884,Female,,"Deaths per 1,000 children aged 10",Normal value,,,Total
Albania,AL,ALB,8,Mortality rate age 10-14,2020,0.927600416988916,Female,,"Deaths per 1,000 children aged 10",Normal value,,,Total
Albania,AL,ALB,8,Mortality rate age 10-14,2021,0.901630627881067,Female,,"Deaths per 1,000 children aged 10",Normal value,,,Total
Albania,AL,ALB,8,Mortality rate age 10-14,2022,0.876782950778865,Female,,"Deaths per 1,000 children aged 10",Normal value,,,Total
Albania,AL,ALB,8,Mortality rate age 10-14,1990,3.12531018217421,Male,,"Deaths per 1,000 children aged 10",Normal value,,,Total
Albania,AL,ALB,8,Mortality rate age 10-14,1991,2.99894784222388,Male,,"Deaths per 1,000 children aged 10",Normal value,,,Total
Albania,AL,ALB,8,Mortality rate age 10-14,1992,2.87931009516351,Male,,"Deaths per 1,000 children aged 10",Normal value,,,Total
Albania,AL,ALB,8,Mortality rate age 10-14,1993,2.7546264523084,Male,,"Deaths per 1,000 children aged 10",Normal value,,,Total
Albania,AL,ALB,8,Mortality rate age 10-14,1994,2.64258407145579,Male,,"Deaths per 1,000 children aged 10",Normal value,,,Total
Albania,AL,ALB,8,Mortality rate age 10-14,1995,2.53928165847817,Male,,"Deaths per 1,000 children aged 10",Normal value,,,Total
Albania,AL,ALB,8,Mortality rate age 10-14,1996,2.44624941966554,Male,,"Deaths per 1,000 children aged 10",Normal value,,,Total
Albania,AL,ALB,8,Mortality rate age 10-14,1997,2.71654636482421,Male,,"Deaths per 1,000 children aged 10",Normal value,,,Total
